seed,family,direction,kernel_error,f_only_error,maxwell_error,present_match_max_abs
26092438,heldout_harmonic_mode,minus,0.0,2.8173571021880523e-05,2.8173571021880523e-05,0.0
26092438,heldout_two_lobe_mode,plus,0.0,2.1292810681832674e-05,2.1292810681832674e-05,0.0
26092438,heldout_two_lobe_mode,minus,0.0,2.1915013344830997e-05,2.1915013344830997e-05,0.0
26092438,heldout_diagonal_mode,plus,0.0,2.3266578578226247e-05,2.3266578578226247e-05,0.0
26092438,heldout_diagonal_mode,minus,0.0,2.328374679191911e-05,2.328374679191911e-05,0.0
26092439,calibration_mode_a,plus,0.0,2.2156900970697475e-05,2.2156900970697475e-05,0.0
26092439,calibration_mode_a,minus,0.0,2.252917851137474e-05,2.252917851137474e-05,0.0
26092439,calibration_mode_b,plus,0.0,2.883644771684574e-05,2.883644771684574e-05,0.0
26092439,calibration_mode_b,minus,0.0,1.564519046871481e-05,1.564519046871481e-05,0.0
26092439,heldout_harmonic_mode,plus,0.0,2.8152247477565947e-05,2.8152247477565947e-05,0.0
26092439,heldout_harmonic_mode,minus,0.0,2.817357102189707e-05,2.817357102189707e-05,0.0
26092439,heldout_two_lobe_mode,plus,0.0,2.1292810681858285e-05,2.1292810681858285e-05,0.0
26092439,heldout_two_lobe_mode,minus,0.0,2.1915013344866064e-05,2.1915013344866064e-05,0.0
26092439,heldout_diagonal_mode,plus,0.0,2.326657857823571e-05,2.326657857823571e-05,0.0
26092439,heldout_diagonal_mode,minus,0.0,2.3283746791932002e-05,2.3283746791932002e-05,0.0
26092440,calibration_mode_a,plus,0.0,2.2156900970678122e-05,2.2156900970678122e-05,0.0
26092440,calibration_mode_a,minus,0.0,2.2529178511347154e-05,2.2529178511347154e-05,0.0
26092440,calibration_mode_b,plus,0.0,2.8836447716809793e-05,2.8836447716809793e-05,0.0
26092440,calibration_mode_b,minus,0.0,1.564519046870978e-05,1.564519046870978e-05,0.0
26092440,heldout_harmonic_mode,plus,0.0,2.8152247477540472e-05,2.8152247477540472e-05,0.0
26092440,heldout_harmonic_mode,minus,0.0,2.817357102187012e-05,2.817357102187012e-05,0.0
26092440,heldout_two_lobe_mode,plus,0.0,2.1292810681831105e-05,2.1292810681831105e-05,0.0
26092440,heldout_two_lobe_mode,minus,0.0,2.1915013344828463e-05,2.1915013344828463e-05,0.0
26092440,heldout_diagonal_mode,plus,0.0,2.3266578578237302e-05,2.3266578578237302e-05,0.0
26092440,heldout_diagonal_mode,minus,0.0,2.3283746791911646e-05,2.3283746791911646e-05,0.0
26092441,calibration_mode_a,plus,0.0,2.2156900970675344e-05,2.2156900970675344e-05,0.0
26092441,calibration_mode_a,minus,0.0,2.2529178511333984e-05,2.2529178511333984e-05,0.0
26092441,calibration_mode_b,plus,0.0,2.883644771681253e-05,2.883644771681253e-05,0.0
26092441,calibration_mode_b,minus,0.0,1.5645190468690607e-05,1.5645190468690607e-05,0.0
26092441,heldout_harmonic_mode,plus,0.0,2.815224747754104e-05,2.815224747754104e-05,0.0
26092441,heldout_harmonic_mode,minus,0.0,2.817357102186262e-05,2.817357102186262e-05,0.0
26092441,heldout_two_lobe_mode,plus,0.0,2.129281068183035e-05,2.129281068183035e-05,0.0
26092441,heldout_two_lobe_mode,minus,0.0,2.1915013344845597e-05,2.1915013344845597e-05,0.0
26092441,heldout_diagonal_mode,plus,0.0,2.3266578578218234e-05,2.3266578578218234e-05,0.0
26092441,heldout_diagonal_mode,minus,0.0,2.3283746791903857e-05,2.3283746791903857e-05,0.0
26092442,calibration_mode_a,plus,0.0,2.21569009706867e-05,2.21569009706867e-05,0.0
26092442,calibration_mode_a,minus,0.0,2.2529178511358728e-05,2.2529178511358728e-05,0.0
26092442,calibration_mode_b,plus,0.0,2.8836447716822427e-05,2.8836447716822427e-05,0.0
26092442,calibration_mode_b,minus,0.0,1.5645190468717513e-05,1.5645190468717513e-05,0.0
26092442,heldout_harmonic_mode,plus,0.0,2.81522474775427e-05,2.81522474775427e-05,0.0
26092442,heldout_harmonic_mode,minus,0.0,2.8173571021874282e-05,2.8173571021874282e-05,0.0
26092442,heldout_two_lobe_mode,plus,0.0,2.129281068184355e-05,2.129281068184355e-05,0.0
26092442,heldout_two_lobe_mode,minus,0.0,2.1915013344843666e-05,2.1915013344843666e-05,0.0
26092442,heldout_diagonal_mode,plus,0.0,2.3266578578238166e-05,2.3266578578238166e-05,0.0
26092442,heldout_diagonal_mode,minus,0.0,2.3283746791912086e-05,2.3283746791912086e-05,0.0
26092443,calibration_mode_a,plus,0.0,2.215690097067957e-05,2.215690097067957e-05,0.0
26092443,calibration_mode_a,minus,0.0,2.252917851136841e-05,2.252917851136841e-05,0.0
26092443,calibration_mode_b,plus,0.0,2.8836447716854875e-05,2.8836447716854875e-05,0.0
26092443,calibration_mode_b,minus,0.0,1.5645190468713603e-05,1.5645190468713603e-05,0.0
26092443,heldout_harmonic_mode,plus,0.0,2.8152247477554733e-05,2.8152247477554733e-05,0.0
26092443,heldout_harmonic_mode,minus,0.0,2.8173571021900912e-05,2.8173571021900912e-05,0.0
26092443,heldout_two_lobe_mode,plus,0.0,2.1292810681856337e-05,2.1292810681856337e-05,0.0
26092443,heldout_two_lobe_mode,minus,0.0,2.1915013344864553e-05,2.1915013344864553e-05,0.0
26092443,heldout_diagonal_mode,plus,0.0,2.3266578578245122e-05,2.3266578578245122e-05,0.0
26092443,heldout_diagonal_mode,minus,0.0,2.3283746791940594e-05,2.3283746791940594e-05,0.0
26092444,calibration_mode_a,plus,0.0,2.215690097068973e-05,2.215690097068973e-05,0.0
26092444,calibration_mode_a,minus,0.0,2.252917851136729e-05,2.252917851136729e-05,0.0
26092444,calibration_mode_b,plus,0.0,2.8836447716839432e-05,2.8836447716839432e-05,0.0
26092444,calibration_mode_b,minus,0.0,1.564519046872894e-05,1.564519046872894e-05,0.0
26092444,heldout_harmonic_mode,plus,0.0,2.8152247477535542e-05,2.8152247477535542e-05,0.0
26092444,heldout_harmonic_mode,minus,0.0,2.8173571021869108e-05,2.8173571021869108e-05,0.0
26092444,heldout_two_lobe_mode,plus,0.0,2.1292810681849008e-05,2.1292810681849008e-05,0.0
26092444,heldout_two_lobe_mode,minus,0.0,2.191501334484029e-05,2.191501334484029e-05,0.0
26092444,heldout_diagonal_mode,plus,0.0,2.326657857824607e-05,2.326657857824607e-05,0.0
26092444,heldout_diagonal_mode,minus,0.0,2.32837467919388e-05,2.32837467919388e-05,0.0
26092445,calibration_mode_a,plus,0.0,2.2156900970680152e-05,2.2156900970680152e-05,0.0
26092445,calibration_mode_a,minus,0.0,2.2529178511357372e-05,2.2529178511357372e-05,0.0
26092445,calibration_mode_b,plus,0.0,2.8836447716828922e-05,2.8836447716828922e-05,0.0
26092445,calibration_mode_b,minus,0.0,1.564519046872441e-05,1.564519046872441e-05,0.0
26092445,heldout_harmonic_mode,plus,0.0,2.815224747755005e-05,2.815224747755005e-05,0.0
26092445,heldout_harmonic_mode,minus,0.0,2.8173571021880692e-05,2.8173571021880692e-05,0.0
26092445,heldout_two_lobe_mode,plus,0.0,2.1292810681840433e-05,2.1292810681840433e-05,0.0
26092445,heldout_two_lobe_mode,minus,0.0,2.1915013344832942e-05,2.1915013344832942e-05,0.0
26092445,heldout_diagonal_mode,plus,0.0,2.326657857825072e-05,2.326657857825072e-05,0.0
26092445,heldout_diagonal_mode,minus,0.0,2.328374679194719e-05,2.328374679194719e-05,0.0
26092446,calibration_mode_a,plus,0.0,2.215690097069373e-05,2.215690097069373e-05,0.0
26092446,calibration_mode_a,minus,0.0,2.2529178511343386e-05,2.2529178511343386e-05,0.0
26092446,calibration_mode_b,plus,0.0,2.8836447716815085e-05,2.8836447716815085e-05,0.0
26092446,calibration_mode_b,minus,0.0,1.5645190468725712e-05,1.5645190468725712e-05,0.0
26092446,heldout_harmonic_mode,plus,0.0,2.815224747755103e-05,2.815224747755103e-05,0.0
26092446,heldout_harmonic_mode,minus,0.0,2.8173571021873018e-05,2.8173571021873018e-05,0.0
26092446,heldout_two_lobe_mode,plus,0.0,2.1292810681846318e-05,2.1292810681846318e-05,0.0
26092446,heldout_two_lobe_mode,minus,0.0,2.19150133448331e-05,2.19150133448331e-05,0.0
26092446,heldout_diagonal_mode,plus,0.0,2.32665785782293e-05,2.32665785782293e-05,0.0
26092446,heldout_diagonal_mode,minus,0.0,2.3283746791929552e-05,2.3283746791929552e-05,0.0
26092447,calibration_mode_a,plus,0.0,2.2156900970682967e-05,2.2156900970682967e-05,0.0
26092447,calibration_mode_a,minus,0.0,2.252917851135338e-05,2.252917851135338e-05,0.0
26092447,calibration_mode_b,plus,0.0,2.8836447716826313e-05,2.8836447716826313e-05,0.0
26092447,calibration_mode_b,minus,0.0,1.5645190468724e-05,1.5645190468724e-05,0.0
26092447,heldout_harmonic_mode,plus,0.0,2.8152247477524012e-05,2.8152247477524012e-05,0.0
26092447,heldout_harmonic_mode,minus,0.0,2.817357102190434e-05,2.817357102190434e-05,0.0
26092447,heldout_two_lobe_mode,plus,0.0,2.1292810681840402e-05,2.1292810681840402e-05,0.0
26092447,heldout_two_lobe_mode,minus,0.0,2.1915013344840762e-05,2.1915013344840762e-05,0.0
26092447,heldout_diagonal_mode,plus,0.0,2.326657857822498e-05,2.326657857822498e-05,0.0
26092447,heldout_diagonal_mode,minus,0.0,2.3283746791928254e-05,2.3283746791928254e-05,0.0
