model,seed,family,direction,relaxation_rate,equilibrium_gain,normalized_trajectory_l2_error
maxwell,26092404,calibration_mode_b,plus,0.1,0.05,3.611750908001611e-05
maxwell,26092404,calibration_mode_b,plus,0.2,0.0,2.8836447716840005e-05
maxwell,26092404,calibration_mode_b,plus,0.2,0.01,3.1255209049655216e-05
maxwell,26092404,calibration_mode_b,plus,0.2,0.05,4.2212388734622734e-05
maxwell,26092404,calibration_mode_b,plus,0.4,0.0,2.8836447716840005e-05
maxwell,26092404,calibration_mode_b,plus,0.4,0.01,3.2699557210454914e-05
maxwell,26092404,calibration_mode_b,plus,0.4,0.05,5.078001764324037e-05
maxwell,26092404,calibration_mode_b,minus,0.05,0.0,1.564519046870807e-05
maxwell,26092404,calibration_mode_b,minus,0.05,0.01,1.5967654438417417e-05
maxwell,26092404,calibration_mode_b,minus,0.05,0.05,1.7602874979306526e-05
maxwell,26092404,calibration_mode_b,minus,0.1,0.0,1.564519046870807e-05
maxwell,26092404,calibration_mode_b,minus,0.1,0.01,1.6277116141232895e-05
maxwell,26092404,calibration_mode_b,minus,0.1,0.05,1.990155461585276e-05
maxwell,26092404,calibration_mode_b,minus,0.2,0.0,1.564519046870807e-05
maxwell,26092404,calibration_mode_b,minus,0.2,0.01,1.683700523131668e-05
maxwell,26092404,calibration_mode_b,minus,0.2,0.05,2.449690825702059e-05
maxwell,26092404,calibration_mode_b,minus,0.4,0.0,1.564519046870807e-05
maxwell,26092404,calibration_mode_b,minus,0.4,0.01,1.7693040114893434e-05
maxwell,26092404,calibration_mode_b,minus,0.4,0.05,3.1748505116362774e-05
maxwell,26092405,calibration_mode_a,plus,0.05,0.0,2.2156900970682534e-05
maxwell,26092405,calibration_mode_a,plus,0.05,0.01,2.2712853398197804e-05
maxwell,26092405,calibration_mode_a,plus,0.05,0.05,2.5161804399375514e-05
maxwell,26092405,calibration_mode_a,plus,0.1,0.0,2.2156900970682534e-05
maxwell,26092405,calibration_mode_a,plus,0.1,0.01,2.3215141310917578e-05
maxwell,26092405,calibration_mode_a,plus,0.1,0.05,2.8155422208508783e-05
maxwell,26092405,calibration_mode_a,plus,0.2,0.0,2.2156900970682534e-05
maxwell,26092405,calibration_mode_a,plus,0.2,0.01,2.4067783113076517e-05
maxwell,26092405,calibration_mode_a,plus,0.2,0.05,3.356199309471625e-05
maxwell,26092405,calibration_mode_a,plus,0.4,0.0,2.2156900970682534e-05
maxwell,26092405,calibration_mode_a,plus,0.4,0.01,2.526805965747494e-05
maxwell,26092405,calibration_mode_a,plus,0.4,0.05,4.147056439316791e-05
maxwell,26092405,calibration_mode_a,minus,0.05,0.0,2.25291785113445e-05
maxwell,26092405,calibration_mode_a,minus,0.05,0.01,2.308699267093616e-05
maxwell,26092405,calibration_mode_a,minus,0.05,0.05,2.554052745433348e-05
maxwell,26092405,calibration_mode_a,minus,0.1,0.0,2.25291785113445e-05
maxwell,26092405,calibration_mode_a,minus,0.1,0.01,2.3590584073711243e-05
maxwell,26092405,calibration_mode_a,minus,0.1,0.05,2.8535379575901262e-05
maxwell,26092405,calibration_mode_a,minus,0.2,0.0,2.25291785113445e-05
maxwell,26092405,calibration_mode_a,minus,0.2,0.01,2.444469941249219e-05
maxwell,26092405,calibration_mode_a,minus,0.2,0.05,3.3939646120152886e-05
maxwell,26092405,calibration_mode_a,minus,0.4,0.0,2.25291785113445e-05
maxwell,26092405,calibration_mode_a,minus,0.4,0.01,2.5645442174467925e-05
maxwell,26092405,calibration_mode_a,minus,0.4,0.05,4.184083227268462e-05
maxwell,26092405,calibration_mode_b,plus,0.05,0.0,2.8836447716827943e-05
maxwell,26092405,calibration_mode_b,plus,0.05,0.01,2.955664799537361e-05
maxwell,26092405,calibration_mode_b,plus,0.05,0.05,3.259273878625476e-05
